regio maand P01 P05 P50 P95 P99
NZK 1 4.175 3.386 1.736 1.191 1.105
NZK 2 4.924 3.574 1.775 1.132 0.969
NZK 3 3.634 2.456 1.74 1.234 1.108
NZK 4 2.181 1.683 1.556 1.323 1.31
NZK 5 1.595 1.441 1.363 1.323 1.461
NZK 6 1.467 1.449 1.396 1.48 1.718
NZK 7 1.456 1.476 1.484 1.62 1.81
NZK 8 1.57 1.548 1.517 1.681 1.831
NZK 9 1.86 1.658 1.468 1.564 1.644
NZK 10 2.104 1.802 1.522 1.45 1.481
NZK 11 2.25 1.901 1.662 1.4 1.377
NZK 12 2.936 2.58 1.73 1.287 1.273
NWN 1 5.369 3.977 1.836 1.184 1.03
NWN 2 6.36 4.039 1.872 1.073 0.834
NWN 3 4.791 2.572 1.82 1.181 0.993
NWN 4 2.582 1.7 1.59 1.305 1.335
NWN 5 1.578 1.479 1.361 1.296 1.582
NWN 6 1.604 1.637 1.484 1.525 1.894
NWN 7 1.727 1.728 1.625 1.757 1.999
NWN 8 1.864 1.788 1.644 1.819 1.983
NWN 9 2.097 1.802 1.56 1.642 1.751
NWN 10 2.31 1.9 1.621 1.586 1.586
NWN 11 2.398 2.028 1.759 1.57 1.408
NWN 12 3.553 3.007 1.842 1.342 1.25
ZWN 1 5.386 4.183 1.818 1.26 1.088
ZWN 2 6.79 4.292 1.886 1.099 0.804
ZWN 3 5.223 2.689 1.815 1.194 0.861
ZWN 4 2.687 1.723 1.562 1.395 1.173
ZWN 5 1.602 1.483 1.336 1.524 1.56
ZWN 6 1.69 1.635 1.511 1.724 2.234
ZWN 7 1.73 1.702 1.691 1.865 2.424
ZWN 8 1.813 1.772 1.693 1.873 2.24
ZWN 9 2.153 1.823 1.552 1.665 1.791
ZWN 10 2.307 1.856 1.621 1.598 1.577
ZWN 11 2.224 1.944 1.774 1.582 1.398
ZWN 12 3.305 3.074 1.819 1.414 1.296
ZON 1 5.282 4.785 1.895 1.34 1.169
ZON 2 6.599 4.895 1.954 1.139 0.901
ZON 3 5.609 3.037 1.843 1.19 0.967
ZON 4 3.175 1.835 1.542 1.361 1.264
ZON 5 1.856 1.535 1.302 1.529 1.676
ZON 6 1.727 1.723 1.54 1.881 2.398
ZON 7 1.702 1.717 1.746 2.081 2.624
ZON 8 1.786 1.75 1.742 2.029 2.407
ZON 9 2.138 1.778 1.546 1.679 1.836
ZON 10 2.212 1.795 1.631 1.598 1.579
ZON 11 2.188 1.962 1.838 1.62 1.417
ZON 12 3.281 3.474 1.913 1.527 1.367
MON 1 5.416 4.622 1.951 1.326 1.077
MON 2 6.539 4.677 2 1.197 0.845
MON 3 5.374 2.911 1.91 1.244 1.018
MON 4 2.917 1.793 1.628 1.371 1.378
MON 5 1.755 1.531 1.365 1.432 1.675
MON 6 1.755 1.741 1.53 1.659 2.038
MON 7 1.781 1.76 1.688 1.842 2.171
MON 8 1.883 1.787 1.671 1.869 2.133
MON 9 2.152 1.81 1.556 1.639 1.803
MON 10 2.369 1.872 1.663 1.598 1.588
MON 11 2.68 2.034 1.834 1.603 1.412
MON 12 3.79 3.439 1.937 1.446 1.268
NON 1 5.336 4.362 1.998 1.327 1.12
NON 2 6.016 4.423 2.047 1.244 0.942
NON 3 4.879 2.846 1.93 1.273 1.08
NON 4 2.692 1.788 1.666 1.354 1.43
NON 5 1.702 1.521 1.411 1.339 1.669
NON 6 1.788 1.714 1.504 1.51 1.852
NON 7 1.805 1.774 1.633 1.706 1.934
NON 8 1.886 1.804 1.646 1.75 1.971
NON 9 2.022 1.801 1.598 1.599 1.765
NON 10 2.25 1.924 1.691 1.585 1.577
NON 11 2.843 2.123 1.844 1.597 1.402
NON 12 4.175 3.361 1.956 1.425 1.248
NLD 1 5.345 4.423 1.921 1.305 1.107
NLD 2 6.392 4.504 1.974 1.174 0.88
NLD 3 5.166 2.846 1.878 1.229 1
NLD 4 2.816 1.78 1.608 1.362 1.335
NLD 5 1.712 1.516 1.362 1.423 1.645
NLD 6 1.736 1.7 1.515 1.648 2.065
NLD 7 1.76 1.743 1.675 1.836 2.205
NLD 8 1.851 1.783 1.678 1.853 2.134
NLD 9 2.099 1.802 1.569 1.637 1.788
NLD 10 2.285 1.875 1.656 1.591 1.58
NLD 11 2.545 2.035 1.821 1.598 1.408
NLD 12 3.72 3.311 1.908 1.44 1.284
