regio maand P01 P05 P50 P95 P99
NZK 1 2.054 1.668 1.026 1.012 1.012
NZK 2 2.711 2.024 0.941 0.839 0.95
NZK 3 2.714 1.935 1.042 1.014 1.207
NZK 4 1.955 1.482 1.004 1.094 1.333
NZK 5 1.368 1.158 0.795 0.842 1.168
NZK 6 1.008 0.936 0.814 1.011 1.355
NZK 7 0.951 0.955 1.045 1.362 1.63
NZK 8 1.185 1.159 1.219 1.602 1.813
NZK 9 1.655 1.385 1.338 1.538 1.591
NZK 10 1.852 1.52 1.371 1.342 1.264
NZK 11 1.968 1.7 1.36 1.366 1.326
NZK 12 1.848 1.704 1.197 1.288 1.234
NWN 1 2.429 1.797 1.039 0.921 0.961
NWN 2 2.965 2.186 0.934 0.676 0.934
NWN 3 2.884 2.112 1.009 0.949 1.25
NWN 4 2.069 1.552 0.876 1.025 1.407
NWN 5 1.398 1.147 0.559 0.629 1.095
NWN 6 1.045 0.938 0.651 0.874 1.357
NWN 7 1.008 0.971 1.01 1.38 1.872
NWN 8 1.238 1.167 1.23 1.752 2.213
NWN 9 1.652 1.406 1.334 1.654 1.691
NWN 10 1.919 1.551 1.371 1.356 1.138
NWN 11 2.134 1.748 1.386 1.359 1.283
NWN 12 2.162 1.767 1.22 1.281 1.209
ZWN 1 2.622 1.883 1.05 0.886 0.908
ZWN 2 3.391 2.325 0.942 0.59 0.971
ZWN 3 3.25 2.213 1.015 0.887 1.436
ZWN 4 2.243 1.598 0.851 1.097 1.623
ZWN 5 1.537 1.125 0.501 0.754 1.325
ZWN 6 1.024 0.851 0.678 0.958 1.581
ZWN 7 0.912 0.913 1.12 1.557 2.061
ZWN 8 1.109 1.13 1.34 1.973 2.33
ZWN 9 1.606 1.364 1.361 1.828 1.779
ZWN 10 1.923 1.526 1.34 1.407 1.311
ZWN 11 2.097 1.726 1.35 1.324 1.387
ZWN 12 2.134 1.8 1.222 1.242 1.16
ZON 1 2.96 2.172 1.099 0.961 0.994
ZON 2 3.492 2.46 1 0.671 1.055
ZON 3 3.322 2.265 1.039 0.93 1.513
ZON 4 2.435 1.684 0.837 1.126 1.69
ZON 5 1.616 1.144 0.464 0.806 1.342
ZON 6 1.031 0.836 0.642 0.984 1.546
ZON 7 0.919 0.925 1.102 1.523 1.961
ZON 8 1.054 1.156 1.352 1.945 2.237
ZON 9 1.625 1.378 1.392 1.836 1.797
ZON 10 2.106 1.526 1.349 1.46 1.362
ZON 11 2.316 1.761 1.356 1.397 1.426
ZON 12 2.377 2.025 1.255 1.298 1.221
MON 1 2.788 2.001 1.12 0.956 0.951
MON 2 3.138 2.295 1.007 0.715 1.041
MON 3 3.05 2.133 1.045 0.962 1.527
MON 4 2.229 1.566 0.845 1.102 1.589
MON 5 1.457 1.128 0.464 0.76 1.186
MON 6 1.031 0.933 0.57 0.924 1.425
MON 7 0.973 0.985 0.984 1.44 1.882
MON 8 1.131 1.169 1.251 1.88 2.172
MON 9 1.56 1.406 1.357 1.719 1.688
MON 10 1.955 1.562 1.368 1.344 1.247
MON 11 2.276 1.791 1.397 1.324 1.353
MON 12 2.48 1.936 1.284 1.282 1.188
NON 1 2.565 1.982 1.153 0.987 0.994
NON 2 2.941 2.246 1.044 0.809 1.096
NON 3 2.924 2.09 1.085 1.015 1.387
NON 4 2.177 1.562 0.909 1.096 1.366
NON 5 1.438 1.153 0.54 0.75 1.084
NON 6 1.041 0.929 0.574 0.932 1.391
NON 7 0.994 0.966 0.925 1.403 1.763
NON 8 1.238 1.177 1.186 1.805 2.071
NON 9 1.689 1.427 1.334 1.642 1.641
NON 10 2.038 1.605 1.384 1.299 1.174
NON 11 2.337 1.872 1.427 1.297 1.295
NON 12 2.38 1.96 1.314 1.255 1.201
NLD 1 2.678 1.987 1.107 0.952 0.966
NLD 2 3.172 2.306 1 0.713 1.039
NLD 3 3.085 2.158 1.049 0.96 1.434
NLD 4 2.24 1.593 0.869 1.098 1.52
NLD 5 1.491 1.141 0.505 0.754 1.198
NLD 6 1.035 0.899 0.613 0.942 1.458
NLD 7 0.963 0.952 1.014 1.461 1.885
NLD 8 1.16 1.162 1.263 1.872 2.18
NLD 9 1.634 1.4 1.355 1.729 1.712
NLD 10 2.003 1.562 1.365 1.363 1.248
NLD 11 2.259 1.797 1.39 1.331 1.348
NLD 12 2.331 1.921 1.271 1.269 1.195
