# Daily precipitation sums De Bilt (station 550, tapped 8.00 UT) of Royal Netherlands Meteorological Institute (KNMI)
# Original (1906-2014), homogenised (Brandsma et al., 2014) and homogenised + detrended_to_1995 (Brandsma/STOWA, 2015)
19060613      0.0     0.00     0.00
19060614      0.0     0.00     0.00
19060615      0.0     0.00     0.00
19060616      7.9     7.93     8.37
19060617      0.8     0.81     0.85
19060618      5.5     5.53     5.84
19060619      0.2     0.21     0.22
19060620      0.0     0.00     0.00
19060621      0.0     0.00     0.00
19060622      0.0     0.00     0.00
19060623      6.5     6.52     6.88
19060624      0.0     0.00     0.00
19060625      0.1     0.11     0.11
19060626      0.0     0.00     0.00
19060627      0.0     0.00     0.00
19060628      0.0     0.00     0.00
19060629      8.4     8.43     8.90
19060630     11.9    12.05    12.73
19060701      0.1     0.10     0.11
19060702      0.2     0.20     0.22
19060703      0.0     0.00     0.00
19060704      0.0     0.00     0.00
19060705      0.0     0.00     0.00
19060706      3.7     3.73     3.94
19060707      0.0     0.00     0.00
19060708      0.0     0.00     0.00
19060709      0.0     0.00     0.00
19060710      0.0     0.00     0.00
19060711      0.0     0.00     0.00
19060712     39.2    39.44    41.65
19060713      2.8     2.86     3.02
19060714      2.1     2.11     2.23
19060715      0.0     0.00     0.00
19060716      2.0     2.05     2.16
19060717      0.0     0.00     0.00
19060718      0.0     0.00     0.00
19060719      0.0     0.00     0.00
19060720      5.7     5.75     6.07
19060721      1.8     1.82     1.92
19060722      0.0     0.00     0.00
19060723      0.1     0.11     0.11
19060724      0.0     0.00     0.00
19060725      0.7     0.71     0.75
19060726      0.0     0.00     0.00
19060727      0.0     0.00     0.00
19060728      1.6     1.61     1.70
19060729      0.0     0.00     0.00
19060730      0.0     0.00     0.00
19060731      0.0     0.00     0.00
19060801      0.8     0.81     0.85
19060802      0.0     0.00     0.00
19060803      2.9     2.94     3.10
19060804      0.0     0.00     0.00
19060805      8.6     8.63     9.11
19060806      0.0     0.00     0.00
19060807      0.0     0.00     0.00
19060808      0.0     0.00     0.00
19060809      0.0     0.00     0.00
19060810      0.7     0.71     0.75
19060811      4.0     4.04     4.27
19060812      0.8     0.81     0.86
19060813      0.0     0.00     0.00
19060814      5.8     5.83     6.16
19060815      7.8     7.86     8.30
19060816      3.4     3.45     3.64
19060817      5.2     5.26     5.55
19060818      5.5     5.57     5.89
19060819      2.6     2.67     2.81
19060820      0.0     0.00     0.00
19060821      0.1     0.10     0.11
19060822      0.3     0.30     0.32
19060823      0.0     0.00     0.00
19060824      0.0     0.00     0.00
19060825      0.9     0.92     0.97
19060826      7.3     7.43     7.85
19060827      3.7     3.75     3.96
19060828      0.5     0.52     0.55
19060829      0.0     0.00     0.00
19060830      0.0     0.00     0.00
19060831      0.0     0.00     0.00
19060901      0.0     0.00     0.00
19060902      0.0     0.00     0.00
19060903      0.0     0.00     0.00
19060904      0.0     0.00     0.00
19060905      0.0     0.00     0.00
19060906      0.1     0.10     0.13
19060907      2.3     2.32     2.88
19060908      0.0     0.00     0.00
19060909      0.0     0.00     0.00
19060910      0.1     0.10     0.13
19060911      7.0     7.09     8.78
