regio maand P01 P05 P50 P95 P99
NZK 1 5.053 4.188 2.348 1.782 1.656
NZK 2 5.186 4.056 2.225 1.6 1.447
NZK 3 4.031 2.977 2.299 1.701 1.601
NZK 4 2.961 2.459 2.183 1.775 1.73
NZK 5 2.382 2.193 1.95 1.71 1.728
NZK 6 2.1 2.048 1.892 1.899 1.967
NZK 7 2.005 1.998 1.969 2.061 2.205
NZK 8 2.155 2.083 2.04 2.236 2.444
NZK 9 2.453 2.256 2.035 2.201 2.351
NZK 10 2.702 2.519 2.161 2.113 2.132
NZK 11 3.054 2.783 2.374 2.101 2.026
NZK 12 4.244 3.603 2.501 1.989 1.911
NWN 1 6.444 4.825 2.516 1.78 1.608
NWN 2 6.614 4.507 2.364 1.574 1.339
NWN 3 4.94 3.062 2.422 1.707 1.512
NWN 4 3.234 2.475 2.264 1.826 1.775
NWN 5 2.361 2.236 1.992 1.755 1.872
NWN 6 2.254 2.205 1.989 2.001 2.195
NWN 7 2.285 2.228 2.103 2.209 2.444
NWN 8 2.421 2.316 2.182 2.397 2.657
NWN 9 2.543 2.41 2.163 2.35 2.465
NWN 10 2.686 2.645 2.284 2.268 2.193
NWN 11 3.099 2.985 2.521 2.219 2.007
NWN 12 5.116 4.101 2.689 2.014 1.883
ZWN 1 6.729 5.192 2.559 1.854 1.44
ZWN 2 7.095 4.809 2.392 1.572 1.241
ZWN 3 5.375 3.19 2.433 1.729 1.526
ZWN 4 3.352 2.517 2.269 1.91 1.767
ZWN 5 2.351 2.24 1.99 1.944 1.94
ZWN 6 2.294 2.25 2.024 2.249 2.565
ZWN 7 2.314 2.288 2.191 2.479 2.983
ZWN 8 2.469 2.373 2.258 2.607 3.026
ZWN 9 2.634 2.43 2.167 2.434 2.6
ZWN 10 2.716 2.572 2.299 2.299 2.237
ZWN 11 3.19 2.927 2.599 2.245 2.017
ZWN 12 5.299 4.329 2.783 2.116 1.744
ZON 1 7.115 5.996 2.631 1.896 1.434
ZON 2 7.164 5.541 2.451 1.662 1.324
ZON 3 5.611 3.533 2.497 1.806 1.803
ZON 4 3.692 2.619 2.299 1.948 2.022
ZON 5 2.589 2.266 1.964 2.013 2.155
ZON 6 2.439 2.312 2.062 2.418 2.764
ZON 7 2.359 2.292 2.272 2.687 3.231
ZON 8 2.464 2.368 2.336 2.788 3.269
ZON 9 2.573 2.373 2.178 2.505 2.721
ZON 10 2.706 2.432 2.32 2.318 2.276
ZON 11 3.616 2.862 2.707 2.284 2.085
ZON 12 6.016 4.891 2.904 2.18 1.778
MON 1 7.009 5.75 2.703 1.892 1.452
MON 2 7.114 5.344 2.529 1.688 1.258
MON 3 5.298 3.35 2.556 1.818 1.677
MON 4 3.344 2.517 2.333 1.933 1.985
MON 5 2.429 2.255 2.003 1.903 2.064
MON 6 2.423 2.321 2.061 2.162 2.332
MON 7 2.397 2.289 2.197 2.36 2.616
MON 8 2.541 2.37 2.246 2.524 2.841
MON 9 2.615 2.451 2.167 2.403 2.612
MON 10 2.71 2.547 2.318 2.316 2.274
MON 11 3.47 2.868 2.639 2.299 2.094
MON 12 5.795 4.652 2.888 2.154 1.794
NON 1 6.914 5.466 2.664 1.907 1.542
NON 2 6.825 5.124 2.524 1.723 1.309
NON 3 5.059 3.349 2.577 1.837 1.71
NON 4 3.222 2.556 2.366 1.915 2.025
NON 5 2.394 2.275 2.045 1.802 1.985
NON 6 2.389 2.284 2.057 1.983 1.984
NON 7 2.369 2.273 2.152 2.171 2.18
NON 8 2.557 2.368 2.189 2.326 2.471
NON 9 2.586 2.449 2.189 2.271 2.414
NON 10 2.623 2.64 2.364 2.251 2.206
NON 11 3.4 2.969 2.626 2.27 2.069
NON 12 5.898 4.51 2.823 2.126 1.863
NLD 1 6.889 5.512 2.633 1.884 1.492
NLD 2 6.974 5.133 2.473 1.666 1.292
NLD 3 5.257 3.332 2.517 1.796 1.67
NLD 4 3.359 2.548 2.319 1.916 1.947
NLD 5 2.426 2.26 2.006 1.884 2.013
NLD 6 2.373 2.283 2.047 2.15 2.324
NLD 7 2.354 2.28 2.187 2.364 2.635
NLD 8 2.508 2.365 2.241 2.509 2.811
NLD 9 2.594 2.427 2.177 2.378 2.547
NLD 10 2.683 2.571 2.328 2.286 2.235
NLD 11 3.4 2.924 2.63 2.269 2.062
NLD 12 5.724 4.54 2.832 2.131 1.815
