# Transformed daily mean global radiation [kJ/m2] according to KNMI'14 transformation tool,
# version v1.1
# Deltas are derived from the 2030 decadal prediction
#
# Bakker A., 2014. Time series transformation tool: description of the program to
# generate time series consistent with the KNMI'14 climate scenarios, TR-349
#
# Daily global radiation [kJ/m2] De Bilt 1901-2014 (station 260) of Royal Netherlands Meteorological Institute (KNMI)
# Detrended to 2014 (second column, Versteeg/STOWA, 2015) and detrended to 1995 (third column, Versteeg/STOWA, 2015)
19010628 29032.99 28108.30
19010629 28972.06 28049.44
19010630 12178.45 11790.59
19010701  8979.75  8731.79
19010702 15255.78 14834.51
19010703 11203.31 10893.98
19010704 29545.93 28730.07
19010705 19704.73 19160.63
19010706 26668.74 25932.31
19010707 11381.98 11067.68
19010708 18333.76 17827.51
19010709 25504.37 24800.16
19010710 24705.69 24023.47
19010711 29787.18 28964.73
19010712 29476.72 28662.77
19010713 22772.31 22143.52
19010714 10429.30 10141.39
19010715 15049.58 14634.06
19010716 27149.10 26399.49
19010717 24662.17 23981.19
19010718 27938.09 27166.68
19010719 27876.73 27106.94
19010720 25352.81 24652.70
19010721 26913.96 26170.75
19010722 11325.10 11012.43
19010723 20085.72 19531.10
19010724 23541.73 22891.72
19010725 19670.68 19127.54
19010726 17239.20 16763.16
19010727 10164.81  9884.16
19010728 17738.52 17248.72
19010729 19732.14 19187.28
19010730 24460.47 23785.03
19010731 20920.88 20343.13
19010801 15491.43 14997.04
19010802 21300.50 20620.64
19010803 17802.38 17234.04
19010804 14110.77 13660.39
19010805 15129.54 14646.63
19010806  7928.20  7675.10
19010807 12736.80 12330.30
19010808 13083.37 12665.85
19010809 21759.49 21064.93
19010810 21165.70 20490.07
19010811 10054.40  9733.47
19010812 20904.40 20237.13
19010813 15645.04 15145.64
19010814 23544.77 22793.28
19010815  8289.26  8024.69
19010816 18871.29 18268.86
19010817 23273.41 22530.60
19010818 18785.28 18185.64
19010819 22504.74 21786.34
19010820 13443.62 13014.51
19010821 13336.65 12911.00
19010822 16607.29 16077.15
19010823 21991.09 21289.17
19010824 19466.21 18844.84
19010825 23183.40 22443.39
19010826 13341.28 12915.41
19010827 16271.30 15751.96
19010828 17453.34 16896.24
19010829  9828.56  9514.86
19010830  7149.97  6921.72
19010831  6517.85  6309.76
19010901 10429.61 10101.15
19010902  8542.30  8273.18
19010903 16471.73 15952.89
19010904 18031.54 17463.56
19010905 16125.47 15617.59
19010906 16322.28 15808.05
19010907  8621.33  8349.79
19010908  8371.43  8107.78
19010909  6285.36  6087.41
19010910  8516.16  8247.91
19010911  8923.93  8642.84
19010912 14777.03 14311.49
19010913 16067.87 15561.74
19010914  5608.63  5432.05
19010915  5551.64  5376.72
19010916  8273.74  8013.16
19010917  5418.59  5247.83
19010918  9881.32  9569.97
19010919 14642.34 14181.07
19010920  9048.37  8763.34
19010921 14707.94 14244.69
19010922 13256.58 12838.96
19010923 13058.65 12647.38
19010924  9982.08  9667.66
19010925  5732.25  5551.63
19010926  4829.19  4677.07
19010927 14158.93 13712.90
19010928 13669.37 13238.80
19010929 12721.20 12320.47
19010930 10076.49  9759.00
19011001 12085.58 12085.58
19011002  4402.50  4402.50
