# Daily Tg [deg. C] De Bilt 1901-2014 (station 260) of Royal Netherlands Meteorological Institute (KNMI)
# Detrended to 2014 (second column, Versteeg/STOWA, 2015) and detrended to 1995 (third column, Versteeg/STOWA, 2015)
19010804    19.40    18.73
19010805    18.60    17.93
19010806    16.20    15.53
19010807    18.40    17.73
19010808    20.90    20.23
19010809    22.50    21.83
19010810    24.50    23.83
19010811    20.70    20.03
19010812    18.70    18.03
19010813    17.90    17.23
19010814    20.60    19.93
19010815    18.20    17.53
19010816    17.60    16.93
19010817    17.30    16.63
19010818    20.20    19.53
19010819    21.20    20.53
19010820    18.20    17.53
19010821    18.20    17.53
19010822    18.00    17.33
19010823    18.50    17.83
19010824    17.70    17.03
19010825    18.00    17.33
19010826    17.40    16.73
19010827    15.10    14.43
19010828    14.70    14.03
19010829    13.80    13.13
19010830    16.20    15.53
19010831    17.20    16.53
19010901    14.60    13.93
19010902    14.60    13.93
19010903    15.50    14.83
19010904    15.40    14.73
19010905    14.00    13.33
19010906    13.60    12.93
19010907    14.80    14.13
19010908    17.00    16.33
19010909    19.50    18.83
19010910    19.30    18.63
19010911    16.60    15.93
19010912    16.70    16.03
19010913    16.20    15.53
19010914    15.20    14.53
19010915    15.00    14.33
19010916    15.80    15.13
19010917    15.70    15.03
19010918    15.00    14.33
19010919    13.80    13.13
19010920    17.50    16.83
19010921    21.20    20.53
19010922    19.40    18.73
19010923    20.70    20.03
19010924    19.10    18.43
19010925    18.90    18.23
19010926    18.10    17.43
19010927    15.50    14.83
19010928    14.90    14.23
19010929    16.50    15.83
19010930    16.90    16.23
19011001    17.86    17.21
19011002    18.46    17.81
19011003    17.36    16.71
19011004    14.56    13.91
19011005    14.16    13.51
19011006    11.16    10.51
19011007    10.56     9.91
19011008    11.06    10.41
19011009    13.06    12.41
19011010    10.56     9.91
19011011    12.06    11.41
19011012    11.16    10.51
19011013    10.06     9.41
19011014    10.56     9.91
19011015    10.86    10.21
19011016    11.96    11.31
19011017    13.76    13.11
19011018    15.16    14.51
19011019    13.86    13.21
19011020    12.86    12.21
19011021    12.06    11.41
19011022    10.36     9.71
19011023    10.06     9.41
19011024     9.86     9.21
19011025    11.36    10.71
19011026     9.36     8.71
19011027     8.16     7.51
19011028    11.06    10.41
19011029    11.36    10.71
19011030    10.56     9.91
19011031     7.46     6.81
19011101     7.66     7.01
19011102     7.36     6.71
19011103     5.56     4.91
19011104     3.56     2.91
19011105     2.96     2.31
19011106     4.06     3.41
19011107    10.36     9.71
19011108    10.76    10.11
19011109    10.56     9.91
19011110    10.66    10.01
19011111    11.46    10.81
19011112     9.36     8.71
19011113     9.76     9.11
