regio maand P01 P05 P50 P95 P99
NZK 1 2.033 1.825 0.984 0.805 0.536
NZK 2 2.748 2.199 1.008 0.717 0.529
NZK 3 2.566 1.755 0.978 0.684 0.729
NZK 4 1.731 1.224 0.886 0.745 0.932
NZK 5 1.298 1.066 0.861 0.809 1.037
NZK 6 1.024 1.025 0.943 1.003 1.167
NZK 7 0.932 0.966 0.952 1.047 1.138
NZK 8 1.06 1.036 0.944 1.009 1.105
NZK 9 1.416 1.216 1.011 1.003 1.053
NZK 10 1.469 1.208 1.061 0.922 0.874
NZK 11 1.258 1.059 1.035 0.86 0.708
NZK 12 1.437 1.384 1.014 0.879 0.62
NWN 1 2.743 2.162 0.964 0.805 0.452
NWN 2 3.481 2.632 1.012 0.667 0.41
NWN 3 2.785 1.91 1.037 0.651 0.712
NWN 4 1.607 1.166 0.947 0.758 1.001
NWN 5 1.165 1.017 0.909 0.818 1.081
NWN 6 1.056 1.1 1.054 1.039 1.174
NWN 7 1.003 1.079 1.099 1.161 1.171
NWN 8 1.183 1.17 1.064 1.101 1.112
NWN 9 1.646 1.376 1.094 1.005 0.976
NWN 10 1.758 1.353 1.142 0.914 0.789
NWN 11 1.475 1.165 1.093 0.867 0.626
NWN 12 1.785 1.544 1.036 0.919 0.549
ZWN 1 2.52 2.124 0.95 0.754 0.425
ZWN 2 3.386 2.666 1.02 0.635 0.297
ZWN 3 2.816 1.979 1.021 0.685 0.538
ZWN 4 1.661 1.193 0.924 0.847 0.791
ZWN 5 1.19 1.01 0.888 0.954 0.982
ZWN 6 1.061 1.077 1.038 1.11 1.376
ZWN 7 1.058 1.092 1.088 1.18 1.417
ZWN 8 1.268 1.232 1.073 1.075 1.288
ZWN 9 1.759 1.475 1.103 0.958 0.914
ZWN 10 1.849 1.419 1.143 0.89 0.646
ZWN 11 1.488 1.191 1.083 0.861 0.552
ZWN 12 1.556 1.518 1.002 0.873 0.567
ZON 1 2.504 2.508 0.967 0.793 0.543
ZON 2 2.999 2.887 1.032 0.681 0.357
ZON 3 2.525 2.112 1.018 0.741 0.504
ZON 4 1.692 1.299 0.887 0.891 0.735
ZON 5 1.27 1.103 0.815 0.978 0.938
ZON 6 1.12 1.127 0.986 1.157 1.365
ZON 7 1.103 1.072 1.08 1.249 1.541
ZON 8 1.313 1.203 1.095 1.155 1.485
ZON 9 1.818 1.432 1.137 0.99 1.017
ZON 10 1.912 1.366 1.162 0.891 0.662
ZON 11 1.659 1.254 1.099 0.859 0.577
ZON 12 1.714 1.878 1.029 0.904 0.688
MON 1 2.72 2.485 1.008 0.832 0.536
MON 2 3.371 2.855 1.063 0.707 0.363
MON 3 2.937 2.016 1.055 0.694 0.526
MON 4 1.799 1.228 0.949 0.814 0.84
MON 5 1.289 1.109 0.885 0.897 1.042
MON 6 1.127 1.174 1.016 1.052 1.264
MON 7 1.122 1.117 1.086 1.127 1.315
MON 8 1.349 1.23 1.076 1.045 1.278
MON 9 1.773 1.438 1.103 0.969 1.014
MON 10 1.825 1.379 1.139 0.905 0.723
MON 11 1.646 1.213 1.074 0.873 0.588
MON 12 1.926 1.829 1.049 0.94 0.641
NON 1 2.639 2.264 1.04 0.946 0.621
NON 2 3.015 2.722 1.094 0.802 0.557
NON 3 2.822 2.018 1.123 0.729 0.676
NON 4 1.837 1.265 1.031 0.795 0.994
NON 5 1.359 1.127 0.964 0.814 1.131
NON 6 1.228 1.183 1.051 0.998 1.188
NON 7 1.183 1.159 1.09 1.105 1.237
NON 8 1.321 1.25 1.074 1.043 1.231
NON 9 1.588 1.372 1.106 0.976 1.047
NON 10 1.679 1.342 1.148 0.917 0.766
NON 11 1.726 1.194 1.108 0.897 0.615
NON 12 2.174 1.703 1.091 1.017 0.66
NLD 1 2.616 2.315 0.997 0.848 0.54
NLD 2 3.186 2.758 1.056 0.718 0.421
NLD 3 2.781 2.021 1.064 0.709 0.593
NLD 4 1.75 1.245 0.961 0.823 0.88
NLD 5 1.281 1.089 0.903 0.887 1.046
NLD 6 1.143 1.145 1.03 1.062 1.268
NLD 7 1.117 1.116 1.087 1.155 1.336
NLD 8 1.303 1.227 1.077 1.075 1.287
NLD 9 1.701 1.414 1.109 0.975 1.002
NLD 10 1.788 1.368 1.147 0.903 0.716
NLD 11 1.637 1.206 1.094 0.875 0.592
NLD 12 1.899 1.711 1.05 0.946 0.636
