regio maand P01 P05 P50 P95 P99
NZK 1 4.107 2.844 1.932 1.711 1.591
NZK 2 4.546 3.214 1.921 1.677 1.628
NZK 3 3.946 2.855 2.02 1.843 1.876
NZK 4 2.801 2.313 1.9 1.807 1.846
NZK 5 2.13 1.975 1.696 1.714 1.784
NZK 6 1.804 1.747 1.64 1.636 1.728
NZK 7 1.705 1.693 1.713 1.697 1.8
NZK 8 1.851 1.842 1.817 1.883 1.967
NZK 9 2.176 2.221 2.011 2.006 2.049
NZK 10 2.469 2.47 2.21 2.005 1.985
NZK 11 2.687 2.369 2.287 2.063 2.01
NZK 12 3.465 2.44 2.114 1.94 1.822
NWN 1 5.396 3.259 1.951 1.678 1.513
NWN 2 6.066 3.666 1.95 1.644 1.564
NWN 3 5.145 3.057 2.095 1.869 1.926
NWN 4 3.23 2.403 1.974 1.852 2.014
NWN 5 2.156 2.05 1.757 1.729 1.961
NWN 6 1.876 1.86 1.783 1.651 1.735
NWN 7 1.835 1.832 1.886 1.775 1.797
NWN 8 2.006 1.985 1.969 1.995 2.01
NWN 9 2.252 2.349 2.126 2.131 2.157
NWN 10 2.476 2.568 2.324 2.123 2.131
NWN 11 2.786 2.453 2.411 2.12 2.027
NWN 12 4.292 2.676 2.197 1.92 1.722
ZWN 1 5.544 3.532 1.996 1.695 1.517
ZWN 2 6.378 3.933 2.035 1.642 1.517
ZWN 3 5.32 3.122 2.135 1.919 1.841
ZWN 4 3.287 2.414 1.964 1.939 1.926
ZWN 5 2.192 2.071 1.735 1.825 1.928
ZWN 6 1.84 1.864 1.781 1.734 1.934
ZWN 7 1.824 1.832 1.903 1.878 2.097
ZWN 8 2.119 2.01 1.982 2.092 2.323
ZWN 9 2.48 2.352 2.119 2.197 2.322
ZWN 10 2.665 2.514 2.308 2.105 2.082
ZWN 11 2.907 2.438 2.374 2.048 1.959
ZWN 12 4.292 2.879 2.198 1.916 1.761
ZON 1 5.369 4.412 2.03 1.748 1.55
ZON 2 6.263 4.805 2.074 1.76 1.578
ZON 3 5.836 3.553 2.171 2.048 2.012
ZON 4 3.815 2.549 1.979 1.997 2.063
ZON 5 2.412 2.087 1.711 1.876 2.061
ZON 6 1.875 1.87 1.773 1.848 2.155
ZON 7 1.834 1.841 1.936 2.054 2.389
ZON 8 2.107 2.038 2.039 2.299 2.62
ZON 9 2.548 2.354 2.141 2.324 2.358
ZON 10 2.853 2.471 2.323 2.215 2.081
ZON 11 3.382 2.434 2.413 2.141 2.056
ZON 12 4.477 3.382 2.238 1.964 1.889
MON 1 5.434 4.139 2.027 1.731 1.458
MON 2 6.254 4.473 2.068 1.761 1.615
MON 3 5.572 3.281 2.178 2.034 2.068
MON 4 3.525 2.459 2.008 1.957 2.152
MON 5 2.364 2.138 1.786 1.801 2.125
MON 6 1.976 1.947 1.82 1.662 2.025
MON 7 1.905 1.879 1.915 1.793 2.128
MON 8 2.125 2.067 1.992 2.053 2.326
MON 9 2.403 2.44 2.14 2.257 2.306
MON 10 2.605 2.566 2.352 2.268 2.145
MON 11 3.096 2.418 2.45 2.204 2
MON 12 4.526 3.186 2.256 1.951 1.662
NON 1 5.541 3.804 2.042 1.809 1.518
NON 2 5.827 4.163 2.114 1.844 1.724
NON 3 5.088 3.267 2.246 2.033 2.085
NON 4 3.34 2.463 2.07 1.933 2.038
NON 5 2.323 2.117 1.853 1.803 1.974
NON 6 2.113 2.05 1.842 1.68 1.947
NON 7 2.045 2.022 1.913 1.747 2.028
NON 8 2.124 2.119 1.985 1.949 2.132
NON 9 2.22 2.39 2.164 2.146 2.14
NON 10 2.397 2.546 2.387 2.232 2.094
NON 11 2.974 2.38 2.485 2.258 2.013
NON 12 4.803 3.004 2.257 2.034 1.67
NLD 1 5.476 3.886 2.021 1.752 1.513
NLD 2 6.113 4.259 2.07 1.759 1.625
NLD 3 5.369 3.282 2.185 2.001 2.008
NLD 4 3.445 2.467 2.013 1.944 2.039
NLD 5 2.307 2.102 1.783 1.814 2.007
NLD 6 1.968 1.945 1.808 1.715 1.979
NLD 7 1.917 1.909 1.914 1.84 2.108
NLD 8 2.109 2.061 1.995 2.066 2.286
NLD 9 2.367 2.38 2.143 2.209 2.248
NLD 10 2.581 2.531 2.348 2.202 2.102
NLD 11 3.051 2.417 2.437 2.174 2.008
NLD 12 4.554 3.061 2.237 1.974 1.731
