regio maand P01 P05 P50 P95 P99
NZK 1 3.347 2.887 1.546 1.323 1.451
NZK 2 3.947 3.188 1.541 1.371 1.57
NZK 3 2.955 2.489 1.427 1.236 1.149
NZK 4 1.914 1.74 1.22 1.123 0.982
NZK 5 1.372 1.344 1.071 1.252 1.303
NZK 6 1.148 1.194 1.264 1.775 2.028
NZK 7 1.204 1.222 1.436 2.008 2.234
NZK 8 1.335 1.345 1.482 2.046 2.2
NZK 9 1.61 1.478 1.351 1.595 1.787
NZK 10 1.919 1.615 1.348 1.302 1.504
NZK 11 2.09 1.83 1.475 1.308 1.428
NZK 12 2.405 2.316 1.544 1.337 1.35
NWN 1 3.921 3.05 1.631 1.378 1.569
NWN 2 4.429 3.426 1.576 1.481 1.753
NWN 3 3.309 2.774 1.331 1.224 1.091
NWN 4 2.08 1.855 1.034 1.012 0.698
NWN 5 1.36 1.293 0.878 1.246 1.128
NWN 6 1.101 1.144 1.28 2.026 2.314
NWN 7 1.221 1.223 1.544 2.392 2.689
NWN 8 1.379 1.364 1.559 2.458 2.669
NWN 9 1.662 1.535 1.33 1.695 1.961
NWN 10 2.066 1.718 1.312 1.238 1.486
NWN 11 2.359 1.966 1.481 1.286 1.442
NWN 12 2.815 2.413 1.621 1.375 1.428
ZWN 1 4.059 3.137 1.667 1.375 1.511
ZWN 2 4.965 3.604 1.584 1.403 1.657
ZWN 3 3.715 2.895 1.286 1.166 1.15
ZWN 4 2.183 1.836 0.955 1.015 0.889
ZWN 5 1.339 1.205 0.819 1.329 1.383
ZWN 6 1.062 1.118 1.37 2.184 2.614
ZWN 7 1.2 1.258 1.757 2.595 3.004
ZWN 8 1.368 1.364 1.786 2.673 2.901
ZWN 9 1.633 1.42 1.399 1.862 2.128
ZWN 10 1.968 1.552 1.301 1.353 1.721
ZWN 11 2.091 1.762 1.479 1.389 1.672
ZWN 12 2.581 2.349 1.672 1.442 1.46
ZON 1 4.316 3.317 1.835 1.525 1.626
ZON 2 5.041 3.677 1.728 1.553 1.703
ZON 3 3.785 2.935 1.303 1.258 1.11
ZON 4 2.394 1.911 0.922 1 0.839
ZON 5 1.433 1.24 0.822 1.301 1.331
ZON 6 1.054 1.137 1.511 2.259 2.724
ZON 7 1.194 1.292 1.953 2.698 3.265
ZON 8 1.275 1.388 1.967 2.738 3.148
ZON 9 1.473 1.396 1.453 1.797 2.049
ZON 10 1.793 1.501 1.286 1.328 1.518
ZON 11 1.899 1.706 1.489 1.507 1.538
ZON 12 2.674 2.461 1.793 1.593 1.518
MON 1 4.38 3.274 1.814 1.472 1.513
MON 2 4.852 3.563 1.709 1.527 1.666
MON 3 3.532 2.827 1.336 1.262 1.06
MON 4 2.2 1.882 0.964 1.03 0.728
MON 5 1.354 1.279 0.782 1.29 1.206
MON 6 1.049 1.182 1.333 2.148 2.585
MON 7 1.218 1.281 1.707 2.548 3.014
MON 8 1.391 1.362 1.748 2.575 2.956
MON 9 1.646 1.452 1.392 1.735 2.052
MON 10 1.975 1.63 1.307 1.295 1.568
MON 11 2.224 1.877 1.517 1.418 1.543
MON 12 3.022 2.515 1.782 1.522 1.446
NON 1 4.406 3.294 1.778 1.46 1.49
NON 2 4.69 3.585 1.704 1.536 1.672
NON 3 3.437 2.797 1.4 1.222 1.019
NON 4 2.18 1.86 1.052 0.947 0.681
NON 5 1.399 1.33 0.842 1.171 1.166
NON 6 1.106 1.215 1.251 1.993 2.353
NON 7 1.223 1.255 1.556 2.343 2.67
NON 8 1.406 1.35 1.613 2.365 2.71
NON 9 1.659 1.489 1.34 1.657 2.037
NON 10 2.016 1.689 1.311 1.262 1.548
NON 11 2.417 1.956 1.525 1.349 1.464
NON 12 3.258 2.552 1.748 1.459 1.38
NLD 1 4.269 3.245 1.763 1.451 1.531
NLD 2 4.814 3.589 1.677 1.507 1.683
NLD 3 3.563 2.845 1.343 1.224 1.077
NLD 4 2.217 1.868 0.991 0.991 0.761
NLD 5 1.383 1.277 0.825 1.254 1.241
NLD 6 1.077 1.17 1.339 2.111 2.511
NLD 7 1.213 1.264 1.695 2.498 2.91
NLD 8 1.37 1.363 1.732 2.539 2.869
NLD 9 1.618 1.456 1.381 1.741 2.053
NLD 10 1.962 1.62 1.304 1.297 1.575
NLD 11 2.216 1.859 1.505 1.395 1.531
NLD 12 2.932 2.479 1.738 1.486 1.437
