maand wdf ave P50w P90w p99.lower p99.centr p99.upper
1 3.445 30.966 30.069 27.565 14.583 22.4 30.217
2 1.67 27.214 30.844 24.557 12.833 19.717 26.6
3 3.955 20.769 19.794 16.417 10.85 19.133 27.417
4 4.761 13.368 8.149 9.57 9.1 20.475 31.85
5 1.52 3.838 -4.768 4.783 6.65 19.658 32.667
6 -10.388 -16.732 -24.754 -2.541 5.6 20.65 35.7
7 -19.13 -27.586 -32.046 -3.883 6.183 23.1 40.017
8 -19.396 -21.745 -22.009 2.515 6.767 25.433 44.1
9 -9.592 1.787 2.669 15.303 8.633 26.133 43.633
10 -2.745 14.95 12.28 20.984 11.2 25.608 40.017
11 0.978 18.759 10.702 21.975 13.65 24.442 35.233
12 3.46 26.055 18.216 25.389 15.283 23.625 31.967
